Request_ID,Timestamp,Service,Environment,Region,HTTP_Method,Status_Code,Latency_ms,CPU_Usage_pct,Payload_KB
REQ-00001,2026-03-26 16:38:00,User Service,Production,Bangalore,GET,200,237.9,3.48,100
REQ-00002,2026-05-13 20:55:00,User Service,Staging,Hyderabad,DELETE,200,290.5,0.1,444
REQ-00003,2026-06-13 17:56:00,Payment Service,Production,Hyderabad,GET,201,101.5,1.88,175
REQ-00004,2026-04-26 20:45:00,API Gateway,Production,Bangalore,PUT,200,210.4,2.75,329
REQ-00005,2026-05-27 14:30:00,API Gateway,Production,Hyderabad,GET,502,94.7,0.58,264
REQ-00006,2026-03-18 17:50:00,API Gateway,Production,Hyderabad,GET,200,236.4,2.13,106
REQ-00007,2026-02-06 19:15:00,API Gateway,Production,Bangalore,POST,503,405.3,3.85,213
REQ-00008,2026-01-17 03:27:00,User Service,Production,Mumbai,GET,201,261.8,2.22,41
REQ-00009,2026-01-27 10:04:00,User Service,Production,Mumbai,POST,200,244.2,3.71,41
REQ-00010,2026-05-08 07:23:00,Notification Service,Production,Hyderabad,GET,201,312.1,2.71,293
REQ-00011,2026-06-07 22:26:00,Payment Service,Staging,Bangalore,POST,200,136.8,2.29,255
REQ-00012,2026-03-19 01:49:00,Payment Service,Production,Pune,GET,201,415.8,0.89,352
REQ-00013,2026-06-22 14:30:00,Payment Service,Production,Bangalore,POST,201,249.9,0.99,160
REQ-00014,2026-05-28 18:46:00,Auth Service,Staging,Mumbai,GET,200,156.6,0.51,284
REQ-00015,2026-03-08 03:39:00,API Gateway,Production,Mumbai,GET,200,162.7,0.53,377
REQ-00016,2026-05-18 10:34:00,Auth Service,Staging,Bangalore,GET,429,169.4,2.18,318
REQ-00017,2026-01-03 14:28:00,User Service,Production,Hyderabad,POST,200,170.8,1.52,497
REQ-00018,2026-01-28 07:53:00,Notification Service,Production,Mumbai,GET,200,214.0,3.99,187
REQ-00019,2026-01-19 13:36:00,Notification Service,Production,Pune,GET,200,244.4,2.01,160
REQ-00020,2026-04-20 07:01:00,API Gateway,Production,Bangalore,GET,400,167.8,3.23,325
REQ-00021,2026-05-08 04:35:00,Notification Service,Production,Bangalore,GET,200,285.9,0.26,148
REQ-00022,2026-04-03 23:23:00,User Service,Production,Bangalore,GET,200,242.0,0.48,489
REQ-00023,2026-02-28 22:56:00,Auth Service,Production,Pune,DELETE,200,158.9,3.52,99
REQ-00024,2026-04-13 13:58:00,User Service,Production,Hyderabad,GET,429,264.5,3.99,254
REQ-00025,2026-06-28 22:35:00,Payment Service,Staging,Hyderabad,PUT,500,505.7,3.14,408
REQ-00026,2026-04-22 08:51:00,API Gateway,Staging,Hyderabad,POST,200,137.3,1.55,473
REQ-00027,2026-05-28 23:30:00,Notification Service,Production,Mumbai,GET,200,240.0,2.88,289
REQ-00028,2026-06-23 18:53:00,Auth Service,Production,Bangalore,POST,404,64.2,1.3,176
REQ-00029,2026-05-20 16:43:00,Payment Service,Staging,Bangalore,PUT,201,368.3,2.56,226
REQ-00030,2026-05-05 15:16:00,Payment Service,Production,Mumbai,GET,201,185.8,2.05,4
REQ-00031,2026-03-13 11:46:00,User Service,Production,Pune,GET,200,209.3,0.16,280
REQ-00032,2026-01-03 09:00:00,Auth Service,Staging,Bangalore,GET,503,319.1,0.84,161
REQ-00033,2026-03-23 22:55:00,Payment Service,Staging,Pune,GET,200,418.2,2.5,342
REQ-00034,2026-01-13 13:10:00,API Gateway,Staging,Mumbai,PUT,200,163.1,0.63,246
REQ-00035,2026-06-14 09:19:00,Payment Service,Production,Hyderabad,POST,200,181.0,2.06,173
REQ-00036,2026-06-29 05:07:00,Payment Service,Production,Hyderabad,PUT,401,274.3,0.21,354
REQ-00037,2026-05-26 15:29:00,Payment Service,Staging,Pune,POST,400,238.2,0.22,180
REQ-00038,2026-02-18 19:53:00,User Service,Production,Mumbai,PUT,200,183.2,1.16,108
REQ-00039,2026-03-21 15:32:00,Payment Service,Production,Hyderabad,DELETE,500,544.1,2.11,158
REQ-00040,2026-06-04 18:26:00,User Service,Production,Bangalore,GET,200,134.1,0.82,318
REQ-00041,2026-05-08 03:02:00,Auth Service,Production,Mumbai,POST,400,79.3,1.19,272
REQ-00042,2026-04-11 09:32:00,User Service,Production,Bangalore,GET,201,189.8,2.31,435
REQ-00043,2026-04-11 05:56:00,API Gateway,Production,Pune,GET,200,215.2,1.65,10
REQ-00044,2026-05-27 07:17:00,Payment Service,Production,Pune,DELETE,200,373.8,2.05,325
REQ-00045,2026-01-12 08:44:00,API Gateway,Production,Bangalore,PUT,200,169.8,2.74,163
REQ-00046,2026-04-26 11:07:00,API Gateway,Staging,Hyderabad,GET,429,183.1,3.85,330
REQ-00047,2026-02-27 15:06:00,API Gateway,Production,Hyderabad,GET,200,194.2,2.76,418
REQ-00048,2026-02-09 21:38:00,Auth Service,Production,Mumbai,DELETE,200,115.6,0.25,217
REQ-00049,2026-02-12 03:32:00,Notification Service,Production,Bangalore,GET,201,367.5,1.55,487
REQ-00050,2026-04-26 06:23:00,Auth Service,Production,Mumbai,POST,502,136.9,1.03,286
REQ-00051,2026-03-19 16:48:00,Payment Service,Production,Hyderabad,GET,200,181.6,3.63,76
REQ-00052,2026-05-20 13:28:00,Auth Service,Production,Bangalore,GET,503,230.0,0.46,396
REQ-00053,2026-06-02 21:44:00,Payment Service,Staging,Mumbai,POST,200,482.5,2.51,253
REQ-00054,2026-05-02 18:13:00,API Gateway,Production,Pune,PUT,401,200.4,0.67,29
REQ-00055,2026-06-28 14:28:00,API Gateway,Production,Hyderabad,GET,201,194.6,0.43,445
REQ-00056,2026-06-22 16:43:00,Payment Service,Staging,Bangalore,GET,200,303.2,1.09,242
REQ-00057,2026-04-08 13:47:00,Payment Service,Production,Bangalore,POST,404,378.0,3.85,191
REQ-00058,2026-06-10 08:27:00,Auth Service,Staging,Hyderabad,DELETE,500,229.2,2.27,303
REQ-00059,2026-03-30 23:48:00,API Gateway,Production,Bangalore,POST,502,325.1,2.81,415
REQ-00060,2026-05-08 15:28:00,Payment Service,Staging,Mumbai,PUT,201,345.6,3.84,272
REQ-00061,2026-01-15 21:27:00,Auth Service,Production,Hyderabad,GET,200,101.3,2.38,220
REQ-00062,2026-06-12 17:40:00,Notification Service,Production,Mumbai,GET,503,409.3,2.45,240
REQ-00063,2026-02-27 12:44:00,API Gateway,Production,Mumbai,GET,200,173.8,3.74,242
REQ-00064,2026-02-09 06:50:00,API Gateway,Production,Mumbai,POST,200,212.7,3.94,267
REQ-00065,2026-02-13 06:12:00,User Service,Production,Mumbai,GET,200,225.2,1.17,496
REQ-00066,2026-05-05 07:18:00,Notification Service,Staging,Pune,PUT,429,336.3,2.38,53
REQ-00067,2026-01-08 13:56:00,User Service,Production,Mumbai,POST,200,166.5,0.99,369
REQ-00068,2026-05-03 15:35:00,Payment Service,Production,Pune,POST,200,261.8,1.96,259
